ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands
573,simple,,,Hessonite,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,Hessonite,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/erasebg-transformed.webp,,,,,,,,,0,
575,simple,,,Labradorite,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,Labradorite,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/High-QualityLabradoritePalmStone1_grande.webp,,,,,,,,,0,
577,simple,,,Lapis Lazuli Lajward 5 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,Lapis Lazuli – Lajward,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/lapis-250x250-1.jpg,,,,,,,,,0,
579,simple,,,Original Moon Stone 10 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,3000,"Moon Stone, Moon Stone > Rainbow Moonstone",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/moon-250x250-1.jpg,,,,,,,,,0,
581,simple,,,Opal 1 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Opal,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/WhiteOpalOvalCabochon20.6carat25_1.webp,,,,,,,,,0,
588,simple,,,Original Peridot Stone 5 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,3750,Peridot,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/peridot-250x250-1.jpg,,,,,,,,,0,
591,simple,,,Quartz,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,Quartz,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/SQ29_c6c021f2-1a5c-4622-8265-7bde4e929f8c_large.webp,,,,,,,,,0,
594,simple,,,Rose Quartz,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,Rose Quartz,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/32056_Rose_Quartz_Hero_recoloured-removebg-preview_cd9b6360-67de-4854-bc15-23c7ed187307.webp,,,,,,,,,0,
598,simple,,,Afghani Blue Sapphire stone 5 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,"Sapphire - Neelam, Sapphire - Neelam > Sapphire – Neelam (Blue)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/royal-blue-sapphire-cushion-unheated-certified-5-carat-BS1208_800x.webp,,,,,,,,,0,
600,simple,,,Original Tiger Eye 10 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,Tiger,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/tiger-250x250-1.jpg,,,,,,,,,0,
602,simple,,,Blue Topaz,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,"Topaz-Pukhraj, Topaz-Pukhraj > Topaz-Pukhraj (Blue)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/topaz-250x250-1.jpg,,,,,,,,,0,
605,simple,,,Blue turquoise stone,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,Turquoise,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/nzsa.webp,,,,,,,,,0,
662,simple,,,Agate – Aqeeq (Red),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (Red)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/red-aqeeq.webp,,,,,,,,,0,
669,simple,,,Agate – Aqeeq (Blue),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,Agate – Aqeeq > Agate - Aqeeq (Blue),,,https://omegasols.com/aadam/wp-content/uploads/2025/04/images-e1744311744288.jpeg,,,,,,,,,0,
673,simple,,,Agate – Aqeeq (White),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (White)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/images-1.jpeg,,,,,,,,,0,
675,simple,,,Agate – Aqeeq (Yellow),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (Yellow)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/yellow-aqeeq.jpeg,,,,,,,,,0,
678,simple,,,Agate – Aqeeq (Black),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (Black)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/black.jpg,,,,,,,,,0,
681,simple,,,Coral – Marjan (Black),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,"Coral - Marjan, Coral - Marjan > Coral – Marjan (Black)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/Onyx-300x300-Photoroom.png,,,,,,,,,0,
684,simple,,,Coral – Marjan (Orange),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,"Coral - Marjan, Coral - Marjan > Coral – Marjan (Orange)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/orangle-coral-e1744309319470.jpg,,,,,,,,,0,
687,simple,,,Coral – Marjan (Red),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,"Coral - Marjan, Coral - Marjan > Coral - Marjan (Red)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/marjan-stone-red-coral-stone-red-monga-1200x1200-1.jpg,,,,,,,,,0,
690,simple,,,Coral – Marjan (White),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,"Coral - Marjan, Coral - Marjan > Coral – Marjan (White)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/images-Photoroom.png,,,,,,,,,0,
692,simple,,,Opal (Australian),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,"Opal, Opal > Opal (Australian)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/Australian-Black-Opal-2.16ct_191846.webp,,,,,,,,,0,
697,simple,,,Opal (Ethiopian),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,"Opal, Opal > Opal (Ethiopian)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/ethopian-opal.webp,,,,,,,,,0,
699,simple,,,Pearl – Mooti (SaltWater),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,"Pearl - Mooti, Pearl - Mooti > Pearl – Mooti (SaltWater)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/pearl-stone-price-in-pakistan-mooti-1.jpg,,,,,,,,,0,
703,simple,,,Pearl – Mooti (FreshWater),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,"Pearl - Mooti, Pearl - Mooti > Pearl – Mooti (FreshWater)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/black-pearl-fresh-water.jpg,,,,,,,,,0,
705,simple,,,Topaz-Pukhraj (White),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,"Topaz-Pukhraj, Topaz-Pukhraj > Topaz-Pukhraj (White)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/white-topaz.jpeg,,,,,,,,,0,
707,simple,,,Topaz-Pukhraj (Yellow),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,"Topaz-Pukhraj, Topaz-Pukhraj > Topaz-Pukhraj (Yellow)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/Untitled-3-9-1200x1200-1.webp,,,,,,,,,0,
711,simple,,,Sapphire – Neelam (Yellow),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,"Sapphire - Neelam, Sapphire - Neelam > Sapphire – Neelam (Yellow)",,,https://omegasols.com/aadam/wp-content/uploads/2025/03/AdobeStock_1268485724_Preview-e1744126483507.jpeg,,,,,,,,,0,
735,simple,,,Agate – Aqeeq (Blue) 1 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Agate – Aqeeq > Agate - Aqeeq (Blue),,,https://omegasols.com/aadam/wp-content/uploads/2025/04/images-e1744311744288.jpeg,,,,,,,,,0,
738,simple,,,Agate – Aqeeq (Blue) 3 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Agate – Aqeeq > Agate - Aqeeq (Blue),,,https://omegasols.com/aadam/wp-content/uploads/2025/04/images-e1744311744288.jpeg,,,,,,,,,0,
740,simple,,,Agate – Aqeeq (Blue) 10 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Agate – Aqeeq > Agate - Aqeeq (Blue),,,https://omegasols.com/aadam/wp-content/uploads/2025/04/images-e1744311744288.jpeg,,,,,,,,,0,
742,simple,,,Agate – Aqeeq (Blue) 5 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Agate – Aqeeq > Agate - Aqeeq (Blue),,,https://omegasols.com/aadam/wp-content/uploads/2025/04/images-e1744311744288.jpeg,,,,,,,,,0,
743,simple,,,Agate – Aqeeq (Blue) 7 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Agate – Aqeeq > Agate - Aqeeq (Blue),,,https://omegasols.com/aadam/wp-content/uploads/2025/04/images-e1744311744288.jpeg,,,,,,,,,0,
760,simple,,,Agate – Aqeeq (White) 1 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (White)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/images-1.jpeg,,,,,,,,,0,
762,simple,,,Agate – Aqeeq (White) 3 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (White)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/images-1.jpeg,,,,,,,,,0,
763,simple,,,Agate – Aqeeq (White) 5 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (White)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/images-1.jpeg,,,,,,,,,0,
764,simple,,,Agate – Aqeeq (White) 7 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (White)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/images-1.jpeg,,,,,,,,,0,
765,simple,,,Agate – Aqeeq (White) 10 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (White)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/images-1.jpeg,,,,,,,,,0,
770,simple,,,Agate – Aqeeq (Yellow) 1 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (Yellow)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/yellow-aqeeq-1-1.webp,,,,,,,,,0,
774,simple,,,Agate – Aqeeq (Yellow) 3 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (Yellow)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/yellow-aqeeq-1-1.webp,,,,,,,,,0,
775,simple,,,Agate – Aqeeq (Yellow) 5 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (Yellow)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/yellow-aqeeq-1-1.webp,,,,,,,,,0,
776,simple,,,Agate – Aqeeq (Yellow) 7 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (Yellow)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/yellow-aqeeq-1-1.webp,,,,,,,,,0,
777,simple,,,Agate – Aqeeq (Yellow) 10 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (Yellow)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/yellow-aqeeq-1-1.webp,,,,,,,,,0,
782,simple,,,Agate – Aqeeq (Yemeni) 1 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Agate – Aqeeq > Agate – Aqeeq (Yemeni),,,https://omegasols.com/aadam/wp-content/uploads/2025/04/yemen.webp,,,,,,,,,0,
787,simple,,,Agate – Aqeeq (Yemeni) 3 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Agate – Aqeeq > Agate – Aqeeq (Yemeni),,,https://omegasols.com/aadam/wp-content/uploads/2025/04/yemen.webp,,,,,,,,,0,
788,simple,,,Agate – Aqeeq (Yemeni) 5 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Agate – Aqeeq > Agate – Aqeeq (Yemeni),,,https://omegasols.com/aadam/wp-content/uploads/2025/04/yemen.webp,,,,,,,,,0,
789,simple,,,Agate – Aqeeq (Yemeni) 7 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Agate – Aqeeq > Agate – Aqeeq (Yemeni),,,https://omegasols.com/aadam/wp-content/uploads/2025/04/yemen.webp,,,,,,,,,0,
790,simple,,,Agate – Aqeeq (Yemeni) 10 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Agate – Aqeeq > Agate – Aqeeq (Yemeni),,,https://omegasols.com/aadam/wp-content/uploads/2025/04/yemen.webp,,,,,,,,,0,
796,simple,,,Agate – Aqeeq (Black) 1 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (Black)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/black.jpg,,,,,,,,,0,
800,simple,,,Agate – Aqeeq (Black) 3 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (Black)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/black.jpg,,,,,,,,,0,
801,simple,,,Agate – Aqeeq (Black) 5 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (Black)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/black.jpg,,,,,,,,,0,
802,simple,,,Agate – Aqeeq (Black) 7 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (Black)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/black.jpg,,,,,,,,,0,
803,simple,,,Agate – Aqeeq (Black) 10 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (Black)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/black.jpg,,,,,,,,,0,
808,simple,,,Agate – Aqeeq (Red) 1 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (Red)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/red-aqeeq.jpeg,,,,,,,,,0,
811,simple,,,Agate – Aqeeq (Red) 3 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (Red)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/red-aqeeq.jpeg,,,,,,,,,0,
812,simple,,,Agate – Aqeeq (Red) 5 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (Red)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/red-aqeeq.jpeg,,,,,,,,,0,
813,simple,,,Agate – Aqeeq (Red) 7 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (Red)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/red-aqeeq.jpeg,,,,,,,,,0,
814,simple,,,Agate – Aqeeq (Red) 10 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Agate – Aqeeq, Agate – Aqeeq > Agate – Aqeeq (Red)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/red-aqeeq.jpeg,,,,,,,,,0,
824,simple,,,Amethyst Stone 1 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Amethyst Stone زبرجد,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/Untitled-4-250x250-1.jpg,,,,,,,,,0,
826,simple,,,Amethyst Stone 3 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Amethyst Stone زبرجد,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/Untitled-4-250x250-1.jpg,,,,,,,,,0,
827,simple,,,Amethyst Stone 5 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Amethyst Stone زبرجد,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/Untitled-4-250x250-1.jpg,,,,,,,,,0,
828,simple,,,Amethyst Stone 7 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Amethyst Stone زبرجد,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/Untitled-4-250x250-1.jpg,,,,,,,,,0,
829,simple,,,Amethyst Stone 10 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Amethyst Stone زبرجد,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/Untitled-4-250x250-1.jpg,,,,,,,,,0,
840,simple,,,Aqua Marine 1 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Aqua Marine,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/aqua-250x250-1.jpg,,,,,,,,,0,
842,simple,,,Aqua Marine 3 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Aqua Marine,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/aqua-250x250-1.jpg,,,,,,,,,0,
843,simple,,,Aqua Marine 5 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Aqua Marine,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/aqua-250x250-1.jpg,,,,,,,,,0,
844,simple,,,Aqua Marine 7 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Aqua Marine,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/aqua-250x250-1.jpg,,,,,,,,,0,
845,simple,,,Aqua Marine 10 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Aqua Marine,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/aqua-250x250-1.jpg,,,,,,,,,0,
852,simple,,,BloodStone 1 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,BloodStone,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/BS09_7-e1744128141875.webp,,,,,,,,,0,
854,simple,,,BloodStone 3 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,BloodStone,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/BS09_7-e1744128141875.webp,,,,,,,,,0,
855,simple,,,BloodStone 5 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,BloodStone,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/BS09_7-e1744128141875.webp,,,,,,,,,0,
856,simple,,,BloodStone 7 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,BloodStone,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/BS09_7-e1744128141875.webp,,,,,,,,,0,
857,simple,,,BloodStone 10 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,BloodStone,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/BS09_7-e1744128141875.webp,,,,,,,,,0,
871,simple,,,Cat Eye (Lehsunia) 1 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Cat Eye (Lehsunia),,,https://omegasols.com/aadam/wp-content/uploads/2025/04/cat-250x250-1.jpg,,,,,,,,,0,
873,simple,,,Cat Eye (Lehsunia) 3 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Cat Eye (Lehsunia),,,https://omegasols.com/aadam/wp-content/uploads/2025/04/cat-250x250-1.jpg,,,,,,,,,0,
874,simple,,,Cat Eye (Lehsunia) 5 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Cat Eye (Lehsunia),,,https://omegasols.com/aadam/wp-content/uploads/2025/04/cat-250x250-1.jpg,,,,,,,,,0,
875,simple,,,Cat Eye (Lehsunia) 7 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Cat Eye (Lehsunia),,,https://omegasols.com/aadam/wp-content/uploads/2025/04/cat-250x250-1.jpg,,,,,,,,,0,
876,simple,,,Cat Eye (Lehsunia) 10 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,Cat Eye (Lehsunia),,,https://omegasols.com/aadam/wp-content/uploads/2025/04/cat-250x250-1.jpg,,,,,,,,,0,
882,simple,,,Citrine 1 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,200,Citrine زرد,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/CT02_4.webp,,,,,,,,,0,
887,simple,,,Citrine 3 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,200,Citrine زرد,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/CT02_4.webp,,,,,,,,,0,
888,simple,,,Citrine 5 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,200,Citrine زرد,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/CT02_4.webp,,,,,,,,,0,
889,simple,,,Citrine 7 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,200,Citrine زرد,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/CT02_4.webp,,,,,,,,,0,
890,simple,,,Citrine 10 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,200,Citrine زرد,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/CT02_4.webp,,,,,,,,,0,
898,simple,,,Coral – Marjan (Black) 1 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,200,"Coral - Marjan, Coral - Marjan > Coral – Marjan (Black)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/Onyx-300x300-Photoroom.png,,,,,,,,,0,
900,simple,,,Coral – Marjan (Black) 3 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,200,"Coral - Marjan, Coral - Marjan > Coral – Marjan (Black)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/Onyx-300x300-Photoroom.png,,,,,,,,,0,
901,simple,,,Coral – Marjan (Black) 5 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,200,"Coral - Marjan, Coral - Marjan > Coral – Marjan (Black)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/Onyx-300x300-Photoroom.png,,,,,,,,,0,
902,simple,,,Coral – Marjan (Black) 7 Carat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,200,"Coral - Marjan, Coral - Marjan > Coral – Marjan (Black)",,,https://omegasols.com/aadam/wp-content/uploads/2025/04/Onyx-300x300-Photoroom.png,,,,,,,,,0,
